[Header]
TITLE, default name
FILEOPENTIME,1639473183.00,12/14/2021,5:13 PM
BYAPP, Resistivity, 2.0, 1.0
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,30129699.781,,299.999685668945,-89999.675,6.4437971625253e-010,-0.00179696048144251,999.890258789063,-13.8297389984131,727.093609619141,0.0607348315417767,999.890258789063,,,0.00263450155155777,0.495419168587202,1.49122455724308e-005,,10,-0.00179696048144251,-13.8297389984131,0.0607348315417767,
,30129723.672,,300.000277709961,-87999.5921875,6.4437971625253e-010,0.00175515630398877,999.890258789063,-19.2558670043945,525.04052734375,0.060060216486454,999.890258789063,,,0.00571949967004395,2.51301053823921,1.99760086128033e-005,,10,0.00175515630398877,-19.2558670043945,0.060060216486454,
,30129747.891,,300.000402832031,-85999.6703125,6.4437971625253e-010,-0.00883427206426859,999.890258789063,-42.8797229766846,230.563523864746,0.0593578182160854,999.890258789063,,,0.0572706170253766,5.08091130687299,3.3775923866211e-005,,10,-0.00883427206426859,-42.8797229766846,0.0593578182160854,
,30129772.656,,299.999749755859,-83999.675,6.4437971625253e-010,0.0181387128774077,999.890258789063,-63.1067852020264,158.912432861328,0.0532071620225906,999.890258789063,,,0.047847936096172,5.46367428963726,5.27751272180491e-005,,10,0.0181387128774077,-63.1067852020264,0.0532071620225906,
,30129797.391,,300.000427246094,-81999.67578125,6.4437971625253e-010,0.0412178080063313,999.890258789063,-128.106927490234,79.2474601745605,0.0524888310581446,999.890258789063,,,0.0785242620939433,10.7519127984804,0.000156945615249053,,10,0.0412178080063313,-128.106927490234,0.0524888310581446,
,30129822.547,,299.999786376953,-79999.71484375,6.4437971625253e-010,0.0675736915320158,999.890258789063,-130.419403076172,77.4483066558838,0.0519875500351191,999.890258789063,,,0.169220608128353,13.8402358673882,0.000144824589004343,,10,0.0675736915320158,-130.419403076172,0.0519875500351191,
,30129848.156,,300.000463867187,-77999.5921875,6.4437971625253e-010,0.0562305926345289,999.890258789063,-127.057524108887,78.0643180847168,0.0511248853057623,999.890258789063,,,0.0476345403832429,12.7328576139762,7.18967954888126e-005,,10,0.0562305926345289,-127.057524108887,0.0511248853057623,
,30129873.094,,300.000427246094,-75999.625,6.4437971625253e-010,0.0345351580530405,999.890258789063,-126.14662399292,75.8457824707031,0.0504807487130165,999.890258789063,,,0.0343324023256617,7.43319499448508,5.42497140124782e-005,,10,0.0345351580530405,-126.14662399292,0.0504807487130165,
,30129896.547,,299.999948120117,-73999.5296875,6.4437971625253e-010,0.0477555932244286,999.890258789063,-119.706754302979,84.391414642334,0.0498531047254801,999.890258789063,,,0.060355754045819,12.207053246002,3.41830810228895e-005,,10,0.0477555932244286,-119.706754302979,0.0498531047254801,
,30129922.547,,300.000042724609,-71999.76640625,6.4437971625253e-010,0.0458614639937878,999.890258789063,-85.8670143127441,114.649253845215,0.0491044029593468,999.890258789063,,,0.011795323063425,4.09375225765749,5.38884464375394e-005,,10,0.0458614639937878,-85.8670143127441,0.0491044029593468,
,30129947.344,,299.999984741211,-69999.74921875,6.4437971625253e-010,0.035186699219048,999.890258789063,-94.1626640319824,105.379110717773,0.0484676819294691,999.890258789063,,,0.0306448676321038,6.40199285369733,3.62057913807209e-005,,10,0.035186699219048,-94.1626640319824,0.0484676819294691,
,30129971.844,,300.00087890625,-67999.79609375,6.4437971625253e-010,0.0557775132823735,999.890258789063,-93.794075012207,106.386627197266,0.0478076130151749,999.890258789063,,,0.0495771116870616,4.99754842182011,4.730253209633e-005,,10,0.0557775132823735,-93.794075012207,0.0478076130151749,
